label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
REACTIVE-med-s30-seed42,REACTIVE,med,30.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,158
REACTIVE-med-s15-seed45,REACTIVE,med,15.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,156
REACTIVE-med-s30-seed46,REACTIVE,med,30.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,164
REACTIVE-med-s30-seed44,REACTIVE,med,30.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,163
REACTIVE-med-s30-seed45,REACTIVE,med,30.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,166
REACTIVE-high-s5-seed42,REACTIVE,high,5.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,178
REACTIVE-high-s5-seed44,REACTIVE,high,5.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,165
REACTIVE-high-s5-seed45,REACTIVE,high,5.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,171
REACTIVE-high-s5-seed46,REACTIVE,high,5.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,170
REACTIVE-high-s5-seed43,REACTIVE,high,5.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,178
REACTIVE-high-s15-seed44,REACTIVE,high,15.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,162
REACTIVE-high-s15-seed43,REACTIVE,high,15.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,192
REACTIVE-high-s15-seed45,REACTIVE,high,15.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,179
REACTIVE-high-s15-seed42,REACTIVE,high,15.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,217
REACTIVE-high-s15-seed46,REACTIVE,high,15.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,204
REACTIVE-high-s30-seed42,REACTIVE,high,30.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,203
REACTIVE-high-s30-seed43,REACTIVE,high,30.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,206
REACTIVE-high-s30-seed44,REACTIVE,high,30.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,195
PREDICTIVE-low-s5-seed43,PREDICTIVE,low,5.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,154
PREDICTIVE-low-s5-seed42,PREDICTIVE,low,5.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,155
REACTIVE-high-s30-seed45,REACTIVE,high,30.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,166
REACTIVE-high-s30-seed46,REACTIVE,high,30.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,167
PREDICTIVE-low-s5-seed45,PREDICTIVE,low,5.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,160
PREDICTIVE-low-s5-seed46,PREDICTIVE,low,5.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,165
PREDICTIVE-low-s15-seed42,PREDICTIVE,low,15.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,165
PREDICTIVE-low-s5-seed44,PREDICTIVE,low,5.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,182
PREDICTIVE-low-s15-seed46,PREDICTIVE,low,15.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,151
PREDICTIVE-low-s15-seed44,PREDICTIVE,low,15.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,163
PREDICTIVE-low-s15-seed43,PREDICTIVE,low,15.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,160
PREDICTIVE-low-s15-seed45,PREDICTIVE,low,15.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,163
PREDICTIVE-low-s30-seed42,PREDICTIVE,low,30.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,143
PREDICTIVE-low-s30-seed45,PREDICTIVE,low,30.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,163
PREDICTIVE-low-s30-seed44,PREDICTIVE,low,30.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,170
PREDICTIVE-low-s30-seed43,PREDICTIVE,low,30.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,169
PREDICTIVE-low-s30-seed46,PREDICTIVE,low,30.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,164
PREDICTIVE-med-s5-seed43,PREDICTIVE,med,5.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,152
PREDICTIVE-med-s5-seed44,PREDICTIVE,med,5.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,156
PREDICTIVE-med-s5-seed42,PREDICTIVE,med,5.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,165
PREDICTIVE-med-s5-seed46,PREDICTIVE,med,5.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,160
PREDICTIVE-med-s5-seed45,PREDICTIVE,med,5.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,163
PREDICTIVE-med-s15-seed43,PREDICTIVE,med,15.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,154
PREDICTIVE-med-s15-seed42,PREDICTIVE,med,15.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,165
PREDICTIVE-med-s15-seed45,PREDICTIVE,med,15.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,151
PREDICTIVE-med-s15-seed44,PREDICTIVE,med,15.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,161
PREDICTIVE-med-s15-seed46,PREDICTIVE,med,15.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,171
PREDICTIVE-med-s30-seed42,PREDICTIVE,med,30.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,183
PREDICTIVE-med-s30-seed43,PREDICTIVE,med,30.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,155
PREDICTIVE-med-s30-seed45,PREDICTIVE,med,30.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,156
PREDICTIVE-med-s30-seed46,PREDICTIVE,med,30.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,166
PREDICTIVE-med-s30-seed44,PREDICTIVE,med,30.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,178
PREDICTIVE-high-s5-seed42,PREDICTIVE,high,5.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,208
PREDICTIVE-high-s5-seed45,PREDICTIVE,high,5.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,173
PREDICTIVE-high-s5-seed43,PREDICTIVE,high,5.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,208
PREDICTIVE-high-s5-seed44,PREDICTIVE,high,5.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,210
PREDICTIVE-high-s5-seed46,PREDICTIVE,high,5.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,163
PREDICTIVE-high-s15-seed43,PREDICTIVE,high,15.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,185
PREDICTIVE-high-s15-seed42,PREDICTIVE,high,15.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,194
PREDICTIVE-high-s15-seed44,PREDICTIVE,high,15.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,198
PREDICTIVE-high-s15-seed45,PREDICTIVE,high,15.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,195
PREDICTIVE-high-s15-seed46,PREDICTIVE,high,15.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,203
PREDICTIVE-high-s30-seed42,PREDICTIVE,high,30.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,191
PREDICTIVE-high-s30-seed43,PREDICTIVE,high,30.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,1.6097,4.7225,2.9780,0.241249,206
PREDICTIVE-high-s30-seed44,PREDICTIVE,high,30.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,1.1026,3.2011,2.0398,0.409495,159
PREDICTIVE-high-s30-seed45,PREDICTIVE,high,30.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0716,0.0956,0.1324,0.014608,150
PREDICTIVE-high-s30-seed46,PREDICTIVE,high,30.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,155
