label,mix,policy,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
h100x2_a100x4_l40sx2-FREE_HBM-medium-s43,h100x2_a100x4_l40sx2,FREE_HBM,500,medium,43,500,15.4338,35.3214,0.034958,0.066765,31.0448,0.0200,0.035533,0.015528,231
h100x2_a100x4_l40sx2-FREE_HBM-medium-s45,h100x2_a100x4_l40sx2,FREE_HBM,500,medium,45,500,11.9237,32.1606,0.034956,0.067164,27.8385,0.0220,0.036225,0.015830,231
h100x2_a100x4_l40sx2-FREE_HBM-medium-s44,h100x2_a100x4_l40sx2,FREE_HBM,500,medium,44,500,11.8659,32.8652,0.035076,0.067113,27.8577,0.0160,0.036400,0.015907,230
h100x2_a100x4_l40sx2-FREE_HBM-medium-s42,h100x2_a100x4_l40sx2,FREE_HBM,500,medium,42,500,12.6522,36.2025,0.035155,0.067253,29.3218,0.0260,0.037942,0.016581,232
h100x2_a100x4_l40sx2-EST_TTFT-medium-s43,h100x2_a100x4_l40sx2,EST_TTFT,500,medium,43,500,15.4338,35.3214,0.034958,0.066765,31.0448,0.0200,0.035533,0.015528,239
h100x2_a100x4_l40sx2-EST_TTFT-medium-s44,h100x2_a100x4_l40sx2,EST_TTFT,500,medium,44,500,11.8659,32.8652,0.035076,0.067113,27.8577,0.0160,0.036400,0.015907,240
h100x2_a100x4_l40sx2-FREE_HBM-medium-s46,h100x2_a100x4_l40sx2,FREE_HBM,500,medium,46,500,11.7284,33.8161,0.034875,0.066773,28.0954,0.0380,0.037254,0.016280,249
h100x2_a100x4_l40sx2-EST_TTFT-medium-s42,h100x2_a100x4_l40sx2,EST_TTFT,500,medium,42,500,12.6522,36.2025,0.035155,0.067253,29.3218,0.0260,0.037942,0.016581,250
h100x4_l40sx4-FREE_HBM-medium-s43,h100x4_l40sx4,FREE_HBM,500,medium,43,500,16.7297,35.3214,0.041208,0.066837,35.3151,0.0280,0.047742,0.020863,226
h100x2_a100x4_l40sx2-EST_TTFT-medium-s45,h100x2_a100x4_l40sx2,EST_TTFT,500,medium,45,500,11.9237,32.1606,0.034956,0.067164,27.8385,0.0220,0.036225,0.015830,233
h100x4_l40sx4-FREE_HBM-medium-s42,h100x4_l40sx4,FREE_HBM,500,medium,42,500,13.7437,36.2025,0.041424,0.068299,32.8380,0.0260,0.049050,0.021435,234
h100x2_a100x4_l40sx2-EST_TTFT-medium-s46,h100x2_a100x4_l40sx2,EST_TTFT,500,medium,46,500,11.7284,33.8161,0.034875,0.066773,28.0954,0.0380,0.037254,0.016280,241
h100x4_l40sx4-FREE_HBM-medium-s45,h100x4_l40sx4,FREE_HBM,500,medium,45,500,12.2491,32.1606,0.041039,0.067181,30.9590,0.0340,0.048062,0.021003,224
h100x4_l40sx4-FREE_HBM-medium-s46,h100x4_l40sx4,FREE_HBM,500,medium,46,500,12.7787,33.8161,0.041278,0.067827,31.6603,0.0220,0.048503,0.021196,223
h100x4_l40sx4-FREE_HBM-medium-s44,h100x4_l40sx4,FREE_HBM,500,medium,44,500,12.9280,33.2595,0.041203,0.067963,31.4089,0.0240,0.047474,0.020746,232
h100x4_l40sx4-EST_TTFT-medium-s42,h100x4_l40sx4,EST_TTFT,500,medium,42,500,13.7437,36.2025,0.041424,0.068299,32.8380,0.0260,0.049050,0.021435,236
h100x4_l40sx4-EST_TTFT-medium-s44,h100x4_l40sx4,EST_TTFT,500,medium,44,500,12.9280,33.2595,0.041203,0.067963,31.4089,0.0240,0.047474,0.020746,222
h100x4_l40sx4-EST_TTFT-medium-s43,h100x4_l40sx4,EST_TTFT,500,medium,43,500,16.7297,35.3214,0.041208,0.066837,35.3151,0.0280,0.047742,0.020863,220
h100x4_l40sx4-EST_TTFT-medium-s46,h100x4_l40sx4,EST_TTFT,500,medium,46,500,12.7787,33.8161,0.041278,0.067827,31.6603,0.0220,0.048503,0.021196,223
h100x4_l40sx4-EST_TTFT-medium-s45,h100x4_l40sx4,EST_TTFT,500,medium,45,500,12.2491,32.1606,0.041039,0.067181,30.9590,0.0340,0.048062,0.021003,240
a100x8-FREE_HBM-long-s43,a100x8,FREE_HBM,500,long,43,500,16.3236,25.7549,0.046624,0.052194,38.7001,0.0060,0.044384,0.019396,211
a100x8-FREE_HBM-long-s44,a100x8,FREE_HBM,500,long,44,500,15.6387,26.6775,0.047241,0.052397,38.9386,0.0060,0.046215,0.020196,214
a100x8-FREE_HBM-long-s42,a100x8,FREE_HBM,500,long,42,500,15.0289,24.7820,0.047024,0.051973,39.0669,0.0140,0.047679,0.020836,230
