label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp4x2-ROUND_ROBIN-r10-s53,tp4x2,ROUND_ROBIN,1500,53,1500,0.0751,0.3025,0.006260,0.012935,2.6849,1.0000,0.077288,0.6172,228
tp4x2-ROUND_ROBIN-r10-s50,tp4x2,ROUND_ROBIN,1500,50,1500,0.0759,0.3001,0.006846,0.012461,2.9246,1.0000,0.075364,0.6138,231
tp4x2-ROUND_ROBIN-r10-s52,tp4x2,ROUND_ROBIN,1500,52,1500,0.0792,0.3307,0.006607,0.011274,2.8879,1.0000,0.077737,0.6180,235
tp4x2-ROUND_ROBIN-r10-s51,tp4x2,ROUND_ROBIN,1500,51,1500,0.0761,0.2882,0.007518,0.015306,3.2885,1.0000,0.076406,0.6105,236
tp4x2-ROUND_ROBIN-r10-s55,tp4x2,ROUND_ROBIN,1500,55,1500,0.0781,0.2835,0.007113,0.013223,3.0426,1.0000,0.074368,0.6124,235
tp4x2-ROUND_ROBIN-r10-s56,tp4x2,ROUND_ROBIN,1500,56,1500,0.0763,0.3180,0.005950,0.012607,2.4946,1.0000,0.079129,0.6488,231
tp4x2-ROUND_ROBIN-r10-s54,tp4x2,ROUND_ROBIN,1500,54,1500,0.0783,0.2955,0.006910,0.013316,3.0334,1.0000,0.076164,0.6086,239
tp4x2-ROUND_ROBIN-r10-s57,tp4x2,ROUND_ROBIN,1500,57,1500,0.0782,0.3299,0.007449,0.014551,3.2534,1.0000,0.074876,0.6018,240
tp4x2-ROUND_ROBIN-r10-s60,tp4x2,ROUND_ROBIN,1500,60,1500,0.0756,0.3123,0.007557,0.021617,3.2274,1.0000,0.073399,0.6015,238
tp4x2-ROUND_ROBIN-r10-s59,tp4x2,ROUND_ROBIN,1500,59,1500,0.0726,0.2543,0.006000,0.010991,2.5235,1.0000,0.077962,0.6268,244
tp4x2-ROUND_ROBIN-r10-s58,tp4x2,ROUND_ROBIN,1500,58,1500,0.0808,0.3329,0.006842,0.011801,2.9722,1.0000,0.075067,0.6045,249
tp4x2-ROUND_ROBIN-r10-s61,tp4x2,ROUND_ROBIN,1500,61,1500,0.0845,0.4038,0.008214,0.014275,3.5820,1.0000,0.074966,0.6020,238
tp4x2-ROUND_ROBIN-r20-s45,tp4x2,ROUND_ROBIN,3000,45,3000,67.9765,146.7063,0.029267,0.046019,80.2958,0.0923,0.023324,0.0942,433
tp4x2-ROUND_ROBIN-r20-s43,tp4x2,ROUND_ROBIN,3000,43,3000,69.9585,156.2350,0.029717,0.049312,82.4792,0.0857,0.024229,0.0968,442
