timestamp_unix_ms,gpu,power_w,mem_used_mib,sm_util_pct
1783317276876,0,16.08,13087,100
1783317277078,0,16.08,13087,100
1783317277279,0,16.08,13087,100
1783317277479,0,16.07,13087,100
1783317277680,0,16.07,13087,100
1783317277880,0,16.08,13087,100
1783317278081,0,16.08,13087,100
1783317278281,0,16.08,13087,100
1783317278482,0,16.11,13087,100
1783317278682,0,16.11,13087,100
1783317278883,0,16.12,13087,100
1783317279084,0,16.12,13087,100
1783317279284,0,16.12,13087,100
1783317279484,0,16.12,13087,100
1783317279684,0,16.12,13087,100
1783317279885,0,16.11,13087,100
1783317280086,0,16.11,13087,100
1783317280286,0,16.11,13087,100
1783317280486,0,16.09,13087,100
1783317280686,0,16.09,13087,100
1783317280887,0,16.08,13087,100
1783317281087,0,16.08,13087,100
1783317281287,0,16.08,13087,100
1783317281487,0,16.08,13087,100
1783317281688,0,16.08,13087,100
1783317281888,0,15.97,13087,92
1783317282088,0,15.97,13087,92
1783317282288,0,15.97,13087,92
1783317282488,0,15.92,13087,100
1783317282688,0,15.92,13087,100
1783317282889,0,15.98,13087,100
1783317283090,0,15.98,13087,100
1783317283290,0,15.98,13087,100
1783317283490,0,16.07,13087,100
1783317283691,0,16.07,13087,100
1783317283892,0,16.07,13087,100
1783317284092,0,16.07,13087,100
1783317284292,0,16.07,13087,100
1783317284492,0,16.08,13087,100
1783317284693,0,16.08,13087,100
1783317284894,0,16.11,13087,100
1783317285095,0,16.11,13087,100
1783317285295,0,16.11,13087,100
1783317285495,0,16.09,13087,100
1783317285695,0,16.09,13087,100
1783317285895,0,16.07,13087,100
1783317286096,0,16.07,13087,100
1783317286296,0,16.07,13087,100
1783317286496,0,16.05,13087,100
1783317286696,0,16.05,13087,100
1783317286897,0,16.08,13087,100
1783317287097,0,16.08,13087,100
1783317287297,0,16.08,13087,100
1783317287497,0,16.11,13087,100
1783317287697,0,16.11,13087,100
1783317287898,0,16.12,13087,100
1783317288098,0,16.12,13087,100
1783317288298,0,16.12,13087,100
1783317288498,0,16.14,13087,100
1783317288699,0,16.14,13087,100
1783317288900,0,16.14,13087,100
1783317289101,0,16.14,13087,100
1783317289301,0,16.14,13087,100
1783317289501,0,16.14,13087,100
1783317289701,0,16.14,13087,100
1783317289902,0,16.1,13087,100
1783317290102,0,16.1,13087,100
1783317290302,0,16.1,13087,100
1783317290502,0,16.07,13087,100
1783317290702,0,16.07,13087,100
1783317290903,0,16.07,13087,100
1783317291104,0,16.09,13087,100
1783317291304,0,16.09,13087,100
1783317291504,0,16.11,13087,100
1783317291704,0,16.11,13087,100
1783317291905,0,16.11,13087,100
1783317292105,0,16.1,13087,100
1783317292305,0,16.1,13087,100
1783317292505,0,16.1,13087,100
1783317292706,0,16.1,13087,100
1783317292906,0,16.1,13087,100
1783317293106,0,16.02,13087,90
1783317293306,0,16.02,13087,90
1783317293506,0,15.94,13087,100
1783317293708,0,15.94,13087,100
1783317293908,0,15.94,13087,100
1783317294108,0,15.97,13087,100
1783317294308,0,15.97,13087,100
1783317294508,0,16.16,13087,100
1783317294709,0,16.16,13087,100
1783317294909,0,16.16,13087,100
1783317295109,0,16.15,13087,100
1783317295309,0,16.15,13087,100
1783317295509,0,16.14,13087,100
1783317295710,0,16.14,13087,100
1783317295910,0,16.14,13087,100
1783317296110,0,16.14,13087,100
1783317296310,0,16.14,13087,100
1783317296510,0,16.15,13087,100
1783317296711,0,16.15,13087,100
1783317296911,0,16.15,13087,100
1783317297111,0,16.14,13087,100
1783317297311,0,16.14,13087,100
1783317297512,0,16.12,13087,100
1783317297713,0,16.12,13087,100
1783317297913,0,16.12,13087,100
1783317298113,0,16.11,13087,100
1783317298313,0,16.11,13087,100
1783317298514,0,16.12,13087,100
1783317298714,0,16.12,13087,100
1783317298914,0,16.12,13087,100
1783317299114,0,16.14,13087,100
1783317299314,0,16.14,13087,100
1783317299515,0,16.14,13087,100
1783317299715,0,16.14,13087,100
1783317299915,0,16.14,13087,100
1783317300115,0,16.1,13087,100
1783317300316,0,16.1,13087,100
1783317300516,0,16.09,13087,100
1783317300716,0,16.09,13087,100
1783317300916,0,16.09,13087,100
1783317301116,0,16.09,13087,100
1783317301317,0,16.09,13087,100
1783317301518,0,16.09,13087,100
1783317301718,0,16.09,13087,100
1783317301918,0,16.09,13087,100
1783317302118,0,16.09,13087,100
1783317302319,0,16.09,13087,100
1783317302519,0,16.09,13087,100
1783317302719,0,16.09,13087,100
1783317302919,0,16.09,13087,100
1783317303119,0,16.1,13087,100
1783317303320,0,16.1,13087,100
1783317303520,0,16.11,13087,100
1783317303720,0,16.11,13087,100
1783317303920,0,16.11,13087,100
1783317304120,0,16.13,13087,100
1783317304321,0,16.13,13087,100
1783317304522,0,15.55,13087,100
1783317304722,0,15.55,13087,100
1783317304922,0,15.55,13087,100
1783317305122,0,15.43,13087,100
1783317305323,0,15.43,13087,100
1783317305524,0,15.88,13087,100
1783317305724,0,15.88,13087,100
1783317305924,0,15.88,13087,100
1783317306124,0,15.85,13087,100
1783317306325,0,15.85,13087,100
1783317306526,0,15.83,13087,100
1783317306726,0,15.83,13087,100
1783317306926,0,15.83,13087,100
1783317307127,0,15.81,13087,100
1783317307327,0,15.81,13087,100
1783317307527,0,15.8,13087,100
1783317307727,0,15.8,13087,100
1783317307927,0,15.8,13087,100
1783317308127,0,15.8,13087,100
1783317308328,0,15.8,13087,100
1783317308528,0,15.8,13087,100
1783317308728,0,15.8,13087,100
1783317308928,0,15.8,13087,100
1783317309128,0,15.82,13087,100
1783317309329,0,15.82,13087,100
1783317309529,0,15.84,13087,100
1783317309729,0,15.84,13087,100
1783317309929,0,15.84,13087,100
1783317310130,0,15.84,13087,100
1783317310330,0,15.84,13087,100
1783317310530,0,15.84,13087,100
1783317310730,0,15.83,13087,100
1783317310930,0,15.83,13087,100
1783317311131,0,15.85,13087,100
1783317311331,0,15.85,13087,100
1783317311531,0,15.85,13087,100
1783317311731,0,15.84,13087,100
1783317311931,0,15.84,13087,100
1783317312132,0,15.84,13087,100
1783317312332,0,15.84,13087,100
1783317312532,0,15.84,13087,100
1783317312732,0,15.84,13087,100
1783317312932,0,15.84,13087,100
1783317313133,0,15.84,13087,100
1783317313333,0,15.84,13087,100
1783317313533,0,15.84,13087,100
1783317313733,0,15.83,13087,100
1783317313933,0,15.83,13087,100
1783317314133,0,15.84,13087,100
1783317314334,0,15.84,13087,100
1783317314534,0,15.84,13087,100
1783317314734,0,15.86,13087,100
1783317314934,0,15.86,13087,100
1783317315134,0,15.85,13087,100
1783317315334,0,15.85,13087,100
1783317315535,0,15.85,13087,100
1783317315735,0,15.81,13087,100
1783317315935,0,15.81,13087,100
1783317316135,0,15.83,13087,100
1783317316335,0,15.83,13087,100
1783317316536,0,15.83,13087,100
1783317316736,0,15.9,13087,100
1783317316936,0,15.9,13087,100
1783317317136,0,15.86,13087,100
1783317317336,0,15.86,13087,100
1783317317536,0,15.86,13087,100
1783317317737,0,15.86,13087,100
1783317317937,0,15.86,13087,100
1783317318137,0,15.86,13087,100
1783317318337,0,15.86,13087,100
1783317318537,0,15.86,13087,100
1783317318737,0,15.86,13087,100
1783317318938,0,15.86,13087,100
1783317319138,0,15.89,13087,100
1783317319338,0,15.89,13087,100
1783317319538,0,15.89,13087,100
1783317319738,0,15.89,13087,100
1783317319939,0,15.89,13087,100
1783317320139,0,15.85,13087,100
1783317320339,0,15.85,13087,100
1783317320539,0,15.85,13087,100
1783317320740,0,15.83,13087,100
1783317320940,0,15.83,13087,100
1783317321140,0,15.83,13087,100
1783317321340,0,15.83,13087,100
1783317321540,0,15.83,13087,100
1783317321740,0,15.85,13087,100
1783317321941,0,15.85,13087,100
1783317322141,0,15.84,13087,100
1783317322341,0,15.84,13087,100
1783317322541,0,15.84,13087,100
1783317322742,0,15.83,13087,100
1783317322942,0,15.83,13087,100
1783317323142,0,15.84,13087,100
1783317323342,0,15.84,13087,100
1783317323542,0,15.84,13087,100
1783317323743,0,15.84,13087,100
1783317323943,0,15.84,13087,100
1783317324143,0,15.86,13087,100
1783317324343,0,15.86,13087,100
1783317324543,0,15.86,13087,100
1783317324744,0,15.85,13087,100
1783317324944,0,15.85,13087,100
1783317325144,0,15.83,13087,100
1783317325344,0,15.83,13087,100
1783317325544,0,15.83,13087,100
1783317325745,0,15.82,13087,100
1783317325945,0,15.82,13087,100
1783317326145,0,15.84,13087,100
1783317326345,0,15.84,13087,100
1783317326545,0,15.84,13087,100
1783317326746,0,15.77,13087,100
1783317326946,0,15.77,13087,100
1783317327146,0,15.77,13087,100
1783317327346,0,15.78,13087,100
1783317327546,0,15.78,13087,100
1783317327746,0,15.87,13087,100
1783317327947,0,15.87,13087,100
1783317328147,0,15.87,13087,100
1783317328347,0,15.81,13087,100
1783317328547,0,15.81,13087,100
1783317328747,0,15.8,13087,100
1783317328948,0,15.8,13087,100
1783317329148,0,15.8,13087,100
1783317329348,0,15.81,13087,100
1783317329548,0,15.81,13087,100
1783317329748,0,15.82,13087,100
1783317329948,0,15.82,13087,100
1783317330149,0,15.82,13087,100
1783317330349,0,15.82,13087,100
1783317330549,0,15.82,13087,100
1783317330749,0,15.79,13087,100
1783317330949,0,15.79,13087,100
1783317331149,0,15.79,13087,100
1783317331350,0,15.81,13087,100
1783317331550,0,15.81,13087,100
1783317331750,0,15.83,13087,100
1783317331950,0,15.83,13087,100
1783317332150,0,15.83,13087,100
1783317332351,0,15.81,13087,100
1783317332551,0,15.81,13087,100
1783317332751,0,15.8,13087,100
1783317332951,0,15.8,13087,100
1783317333151,0,15.8,13087,100
1783317333351,0,15.82,13087,100
1783317333552,0,15.82,13087,100
1783317333752,0,15.83,13087,100
1783317333952,0,15.83,13087,100
1783317334152,0,15.83,13087,100
1783317334352,0,15.82,13087,100
1783317334553,0,15.82,13087,100
1783317334753,0,15.82,13087,100
1783317334953,0,15.82,13087,100
1783317335153,0,15.82,13087,100
1783317335353,0,15.84,13087,100
1783317335553,0,15.84,13087,100
1783317335754,0,15.84,13087,100
1783317335954,0,15.84,13087,100
1783317336154,0,15.84,13087,100
1783317336354,0,15.83,13087,100
1783317336554,0,15.83,13087,100
1783317336754,0,15.82,13087,100
1783317336954,0,15.82,13087,100
1783317337155,0,15.82,13087,100
1783317337355,0,15.81,13087,100
1783317337555,0,15.81,13087,100
1783317337755,0,15.82,13087,100
1783317337955,0,15.82,13087,100
1783317338155,0,15.82,13087,100
1783317338355,0,15.66,13087,100
1783317338556,0,15.66,13087,100
1783317338756,0,15.91,13087,100
1783317338956,0,15.91,13087,100
1783317339156,0,15.91,13087,100
1783317339356,0,15.9,13087,100
1783317339557,0,15.9,13087,100
1783317339757,0,15.88,13087,100
1783317339957,0,15.88,13087,100
1783317340157,0,15.88,13087,100
1783317340357,0,15.87,13087,100
1783317340558,0,15.87,13087,100
1783317340758,0,15.85,13087,100
1783317340958,0,15.85,13087,100
1783317341158,0,15.85,13087,100
1783317341358,0,15.85,13087,100
1783317341559,0,15.85,13087,100
1783317341759,0,15.84,13087,100
1783317341959,0,15.84,13087,100
1783317342159,0,15.84,13087,100
1783317342360,0,15.85,13087,100
1783317342560,0,15.85,13087,100
1783317342760,0,15.85,13087,100
1783317342960,0,15.84,13087,100
1783317343160,0,15.84,13087,100
1783317343361,0,15.84,13087,100
1783317343561,0,15.84,13087,100
1783317343761,0,15.85,13087,100
1783317343961,0,15.85,13087,100
1783317344162,0,15.85,13087,100
1783317344362,0,15.86,13087,100
1783317344562,0,15.86,13087,100
1783317344762,0,15.86,13087,100
1783317344963,0,15.85,13087,100
1783317345163,0,15.85,13087,100
1783317345363,0,15.81,13087,100
1783317345563,0,15.81,13087,100
1783317345763,0,15.81,13087,100
1783317345964,0,15.8,13087,100
1783317346164,0,15.8,13087,100
1783317346364,0,15.81,13087,100
1783317346564,0,15.81,13087,100
1783317346765,0,15.81,13087,100
1783317346965,0,15.81,13087,100
1783317347165,0,15.81,13087,100
1783317347365,0,15.82,13087,100
