id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
1424,358,167,0.047283,0.011877,2.164444,30.235700,0.003670,true,true
1425,136,163,0.019315,0.011864,2.069795,29.283424,0.003555,true,true
1427,444,80,0.055546,0.011828,1.033075,13.960343,0.001695,true,true
1428,427,75,0.044141,0.011777,0.935395,12.728217,0.001545,true,true
1429,165,155,0.026031,0.011738,1.854850,26.117816,0.003170,true,true
1430,182,138,0.022011,0.011789,1.825240,25.752363,0.003126,true,true
1431,282,86,0.030665,0.011838,1.194901,16.626750,0.002018,true,true
1433,466,71,0.050311,0.011870,0.956229,12.937644,0.001570,true,true
1432,352,161,0.042824,0.011838,2.058563,28.787265,0.003494,true,true
1434,401,120,0.042106,0.011846,1.486063,20.621503,0.002503,true,true
