id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
955,2535,591,0.236148,0.012575,8.156747,113.116063,0.013731,true,true
957,2474,622,0.231722,0.012034,8.164663,113.292315,0.013752,true,true
959,2415,472,0.224891,0.012456,6.770697,93.482284,0.011348,true,true
958,2630,663,0.250068,0.012486,9.415580,130.894973,0.015889,true,true
961,2719,389,0.259783,0.012641,5.395295,73.341518,0.008903,true,true
960,2197,546,0.210342,0.012542,7.524207,104.451129,0.012679,true,true
962,2529,607,0.234657,0.012192,7.774015,107.671464,0.013070,true,true
964,2477,272,0.235524,0.012318,3.964641,53.256452,0.006465,true,true
963,1635,303,0.154744,0.012300,4.486299,61.860021,0.007509,true,true
966,2412,463,0.228915,0.012200,5.865288,80.494456,0.009771,true,true
965,1859,707,0.181429,0.012172,8.994738,125.865074,0.015279,true,true
968,2097,351,0.196401,0.012100,4.619273,63.164131,0.007667,true,true
967,1806,565,0.166135,0.012206,7.946859,111.118455,0.013489,true,true
969,2048,340,0.191620,0.012424,4.920153,67.529366,0.008197,true,true
970,2864,425,0.269878,0.012444,5.987414,81.653559,0.009912,true,true
971,2817,568,0.348917,0.012377,7.551343,102.859649,0.012486,true,true
974,2512,335,0.496627,0.012825,5.232680,67.636748,0.008210,true,true
973,2977,353,0.500227,0.012820,5.465220,70.906298,0.008607,true,true
972,2015,695,0.188984,0.012560,10.071768,141.138509,0.017133,true,true
976,2960,607,0.443380,0.012682,8.692046,117.801260,0.014300,true,true
975,1999,711,0.205383,0.012668,10.229319,143.154342,0.017377,true,true
977,2400,391,0.220966,0.012548,6.067028,83.489062,0.010135,true,true
979,1745,361,0.168231,0.012640,5.326387,73.664914,0.008942,true,true
982,2689,264,0.247356,0.012665,3.750272,50.026017,0.006073,true,true
980,2148,396,0.208022,0.012635,5.782021,79.603665,0.009663,true,true
981,1808,402,0.175279,0.012575,5.815919,80.555384,0.009779,true,true
978,2004,648,0.193131,0.012565,9.443992,132.113867,0.016037,true,true
984,1972,411,0.185940,0.012153,5.168705,71.160124,0.008638,true,true
983,1872,706,0.175764,0.012133,8.910667,124.745333,0.015143,true,true
985,2797,709,0.254555,0.012053,9.330680,129.618419,0.015734,true,true
986,1713,358,0.157892,0.012304,4.935349,68.228071,0.008282,true,true
987,1788,649,0.171931,0.012266,8.528030,119.335549,0.014486,true,true
988,2415,578,0.228794,0.012252,7.485407,103.633505,0.012580,true,true
989,2043,539,0.187450,0.012120,6.895351,95.797213,0.011629,true,true
990,2044,547,0.195085,0.012068,7.052555,97.933244,0.011888,true,true
991,2950,283,0.279326,0.012080,3.685883,48.649893,0.005906,true,true
993,2778,449,0.262947,0.012258,5.950502,81.225399,0.009860,true,true
992,2884,564,0.262317,0.012227,7.595215,104.722954,0.012712,true,true
994,2141,311,0.199690,0.012140,3.963177,53.747300,0.006524,true,true
997,1681,268,0.163048,0.012267,3.438419,46.776385,0.005678,true,true
995,2026,762,0.185764,0.012124,9.753250,136.635650,0.016586,true,true
996,2029,767,0.196483,0.012132,9.644449,134.928761,0.016379,true,true
998,2184,391,0.199861,0.012185,5.464882,75.191081,0.009127,true,true
1000,2934,432,0.269101,0.012335,5.740878,78.143812,0.009486,true,true
999,2700,686,0.255056,0.012265,9.078419,126.008660,0.015296,true,true
1001,1685,273,0.163061,0.012172,3.618325,49.345490,0.005990,true,true
1002,1564,524,0.151233,0.012216,7.165383,100.170832,0.012160,true,true
1005,2359,340,0.224294,0.012518,4.906848,66.872728,0.008118,true,true
1003,1659,663,0.164669,0.012328,9.236956,129.563605,0.015728,true,true
1004,2823,681,0.261801,0.012464,9.570516,132.940090,0.016137,true,true
1007,2170,336,0.207331,0.012463,4.561744,62.186458,0.007549,true,true
1006,2637,412,0.244889,0.012486,5.754468,78.683677,0.009551,true,true
1008,1952,415,0.183812,0.012468,6.741293,93.649024,0.011368,true,true
1009,2336,323,0.220917,0.012731,5.502757,75.431286,0.009157,true,true
1012,2789,312,0.260217,0.012976,4.844660,65.471587,0.007948,true,true
1010,2431,500,0.233709,0.012901,7.803879,108.111490,0.013124,true,true
1014,2985,396,0.275104,0.012949,5.562027,75.503874,0.009165,true,true
1013,3054,435,0.284450,0.012914,6.332604,86.375213,0.010485,true,true
1011,1712,700,0.192657,0.012680,10.030598,140.498083,0.017055,true,true
1015,1871,764,0.179885,0.012090,9.404830,131.743744,0.015992,true,true
1016,2607,521,0.237602,0.012162,7.111082,98.161884,0.011916,true,true
1017,1795,531,0.175765,0.012186,7.018349,97.720649,0.011862,true,true
1018,1777,286,0.171843,0.012268,4.078611,55.793526,0.006773,true,true
1020,2074,334,0.196024,0.012396,4.993302,68.511133,0.008316,true,true
1019,2415,534,0.226744,0.012350,7.668952,106.284037,0.012902,true,true
1022,2696,426,0.298813,0.012512,5.805050,78.635950,0.009546,true,true
1023,2058,361,0.195330,0.012455,4.679064,64.033332,0.007773,true,true
1021,2582,624,0.243370,0.012352,8.372725,116.097364,0.014093,true,true
1025,2578,258,0.245880,0.012530,3.818919,51.027476,0.006194,true,true
1024,2916,374,0.265172,0.012425,5.487419,74.580218,0.009053,true,true
1026,1561,506,0.240055,0.012354,6.687134,92.072337,0.011177,true,true
1027,2281,648,0.291671,0.012265,8.227323,113.331029,0.013757,true,true
1028,1902,292,0.174701,0.011970,4.117948,56.314499,0.006836,true,true
1029,2998,685,0.281293,0.012167,8.790691,121.524842,0.014752,true,true
1030,2044,682,0.192378,0.012158,8.672506,121.106826,0.014701,true,true
1031,2191,533,0.203360,0.011967,7.317705,101.601742,0.012333,true,true
